mirna_info	isomiR_rpm_embryo	miRNA_rpm_embryo	Total_rpm_embryo	isomiR_rpm_L1	miRNA_rpm_L1	Total_rpm_L1	isomiR_rpm_L2	miRNA_rpm_L2	Total_rpm_L2	isomiR_rpm_L3	miRNA_rpm_L3	Total_rpm_L3	isomiR_rpm_L4	miRNA_rpm_L4	Total_rpm_L4	isomiR_rpm_YA	miRNA_rpm_YA	Total_rpm_YA	isomiR_rpm_dauer	miRNA_rpm_dauer	Total_rpm_dauer
cel-miR-58a-3p	22462.2043776632	81397.2038996839	103859.408277347	30053.9734950033	112929.195286278	142983.168781281	33448.8659734708	148298.976872805	181747.842846276	40890.1083686801	333609.897924507	374500.006293187	50021.7643766171	334878.977686579	384900.742063196	35160.8314331542	231541.021189918	266701.852623072	28292.1176361874	45382.6588694733	73674.7765056607
cel-miR-1-3p	1236.3207820681	23471.289117901	24707.6098999691	45860.3049190002	382512.840755645	428373.145674645	35050.9896940618	323049.128371896	358100.118065958	27114.0703074851	203816.692049188	230930.762356673	30100.5845433111	180012.640401977	210113.224945288	21958.1809410319	172829.899266455	194788.080207487	2212.37088019886	17703.4127416516	19915.7836218504
cel-miR-72-5p	11302.8774351476	34861.2998215022	46164.1772566498	6222.41699686506	86627.1826120387	92849.5996089038	8452.34928590428	53971.8095024763	62424.1587883806	5160.91679148154	19408.8599681984	24569.77675968	3010.04172537137	16462.6346974016	19472.6764227729	2701.12691272096	18198.0117185728	20899.1386312938	34357.216868976	101289.030732595	135646.247601571
cel-miR-51-5p	23339.4922136395	196270.821481798	219610.313695438	1220.43541097933	22834.9888738501	24055.4242848294	1640.92348779241	24783.0513016922	26423.9747894846	1136.63348059391	15595.1886487688	16731.8221293628	1169.85615436681	13960.1496104327	15130.0057647995	1144.47821013438	18878.8599750125	20023.3381851469	6321.1503862837	34589.3459221446	40910.4963084283
cel-miR-35-3p	7406.79796208449	125310.804055145	132717.602017229	993.561625738942	8596.68121939122	9590.24284513016	676.662606691026	7292.35624586253	7969.01885255355	208.933808259179	3848.57752996606	4057.51133822524	1072.49360870093	20893.2996835885	21965.7932922894	5717.77289389373	96225.3990376091	101943.171931503	3147.02639295691	28465.3940885526	31612.4204815095
cel-miR-70-3p	238.362772154339	2977.88914955736	3216.2519217117	2644.80409195508	26661.3086060947	29306.1126980498	3088.64813477786	36717.2463631885	39805.8944979664	3615.98133860283	65845.0281725005	69461.0095111033	4080.36056930658	71307.1908764269	75387.5514457334	3702.77213107319	44378.837296564	48081.6094276372	1010.12656378823	7026.5347959122	8036.66135970043
cel-miR-71-5p	1443.18393738942	1184.44827872616	2627.63221611558	40714.5100341023	20253.3107514284	60967.8207855307	21536.2707823753	21136.6731799609	42672.9439623362	13864.1426791356	13851.2206685043	27715.3633476398	12069.6098706216	20048.4872169	32118.0970875216	25832.4846095802	30403.9650174624	56236.4496270426	20166.5422752733	10992.4168000465	31158.9590753198
cel-miR-80-3p	1703.17331214553	18349.8588785823	20053.0321907278	1086.90579121442	33933.7683593339	35020.6741505483	1377.32506938292	29994.8866973465	31372.2117667294	1463.04011277391	25193.0539997399	26656.0941125138	2063.51718348557	30262.6881631569	32326.2053466424	1931.54407247207	33153.4176421836	35084.9617146556	5167.49122053626	32066.3052877051	37233.7965082413
cel-miR-37-3p	2105.30274892925	21108.8178554246	23214.1206043538	717.326180111523	5619.47697207348	6336.80315218501	639.729494956364	5836.89831194346	6476.62780689983	207.75908001997	3937.01778454645	4144.77686456642	881.61617810855	25605.1784829443	26486.7946610529	6029.00367390865	108714.874175845	114743.877849753	958.26006308025	3282.09099480054	4240.35105788079
cel-miR-57-5p	1625.44291438843	28353.4162979958	29978.8592123842	2251.49291335842	13377.801017135	15629.2939304934	2982.24877317403	23250.7938285704	26233.0426017444	867.117258855563	7980.76802054096	8847.88527939653	560.420151169572	4702.67787150085	5263.09802267042	375.225238226793	2593.75476762837	2968.98000585516	4815.75166573501	40396.9121014179	45212.6637671529
cel-miR-73-3p	1761.94125399818	45830.5320614384	47592.4733154365	1465.18697706502	7194.14558050974	8659.33255757476	1455.5912664524	9331.81067580261	10787.401942255	536.179532038615	4905.32949029381	5441.50902233242	284.894184310979	2872.52967633812	3157.4238606491	350.81498097072	3044.18998767117	3395.00496864189	1968.17492686559	35256.0950812457	37224.2700081113
cel-miR-228-5p	554.769371088993	3351.33983071698	3906.10920180598	6892.28004198905	13955.9020012831	20848.1820432721	10131.1392131647	22835.9963173554	32967.1355305201	6257.77733026226	10187.2432904138	16445.0206206761	3446.50028489418	4124.35773341332	7570.8580183075	2712.17750215445	2261.41241377035	4973.58991592481	5584.96362623475	21855.4848983274	27440.4485245621
